,road,town,location,vehicles,accident_types,hospital,injuries,brands,day,time,age,latitude,longitude,hourly_temperature_2m,hourly_precipitation,hourly_rain,hourly_showers,hourly_visibility,hourly_windspeed_10m,hourly_winddirection_10m,daily_weather_code,daily_rain_sum,daily_wind_gusts_10m_max,daily_wind_speed_10m_max,daily_wind_direction_10m_dominant,weather_matched_hour_utc,vehicles_parsed,accident_types_parsed,hospital_parsed,injuries_parsed,brands_parsed,hour,num_vehicles,num_brands,month,year,has_motorcycle,has_car,has_pedestrian,has_van,injury_severity,is_grievous,day_num,is_weekend,severity_label
72,Triq Alfredo Cachia Zammit,Iż-Żejtun,"('Triq Alfredo Cachia Zammit', 'Iż-Żejtun')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Yamaha', 'Skoda']",Tuesday,11:30,58,35.853701,14.53153,11.45650005,0,0,0,34580,2.902412653,330.2552185,3,0,19.44000053,8.89134407,344.0545349,2025-02-04 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Yamaha', 'Skoda']",11.5,2,2,2,2025,1,1,0,0,3,1,1,0,Grievous
73,Triq Dun Manwel Zammit,Is-Siġġiewi,"('Triq Dun Manwel Zammit', 'Is-Siġġiewi')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Toyota'],Thursday,06:30,78,35.8539354,14.438063,24.12599945,0,0,0,33400,9.366919518,272.2025452,2,0,34.56000137,16.3948288,324.0359497,2025-07-10 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Toyota'],6.5,2,1,7,2025,0,1,1,0,3,1,3,0,Grievous
74,Triq Ix-Xatt,Il-Gżira,"('Triq Ix-Xatt', 'Il-Gżira')",['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],"['Grievous', 'Slight']",['Honda'],Friday,18:15,24,35.9077803,14.4961247,22.41450119,0,0,0,12360,4.072935104,224.9998932,2,0,29.87999916,12.28755474,279.2249451,2025-09-05 22:00:00+00:00,['Motorcycle'],"['Collision', 'Accident']",['Mater Dei'],"['Grievous', 'Slight']",['Honda'],18.25,1,1,9,2025,1,0,0,0,3,1,4,0,Grievous
75,Birżebbuġa Road,Birżebbuġa,"('Birżebbuġa Road', 'Birżebbuġa')",['Car'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Smart', 'Toyota']",Monday,17:45,41,35.8269478,14.5274189,17.64749908,0,0,0,26520,17.72794342,113.9624939,3,0,51.83999634,28.82024193,134.4979553,2025-04-14 22:00:00+00:00,['Car'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Smart', 'Toyota']",17.75,1,2,4,2025,0,1,0,0,3,1,0,0,Grievous
76,an accident in Salina Road,In-Naxxar,"('an accident in Salina Road', 'In-Naxxar')",['Motorcycle'],['Accident'],['Mater Dei'],[],['Honda'],Thursday,10:15,65,35.9133396,14.4432851,27.81899834,0,0,0,54920,1.835646987,348.690094,0,0,16.91999817,7.862518311,246.392807,2025-07-24 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],[],['Honda'],10.25,1,1,7,2025,1,0,0,0,0,0,3,0,None/Unknown
77,St Joseph High Road,Il-Ħamrun,"('St Joseph High Road', 'Il-Ħamrun')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Renault'],Monday,09:45,62,35.8867896,14.4854096,18.33449936,0,0,0,20300,11.75387669,297.3497925,3,0,41.39999771,18.59844971,334.4191284,2025-05-12 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],['Renault'],9.75,2,1,5,2025,1,1,0,0,3,1,0,0,Grievous
78,Triq il-Palma,Raħal Ġdid,"('Triq il-Palma', 'Raħal Ġdid')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Renault'],Tuesday,19:00,68,35.8717994,14.5073748,11.51499939,0,0,0,34580,2.902412653,330.2552185,3,0,19.44000053,8.89134407,344.0545349,2025-02-04 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Renault'],19,2,1,2,2025,0,1,1,0,3,1,1,0,Grievous
79,Triq Tal-Barrani,Iż-Żejtun,"('Triq Tal-Barrani', 'Iż-Żejtun')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Yamaha', 'Suzuki', 'Toyota']",Wednesday,07:45,21,35.853701,14.53153,10.15649986,0.200000003,0,0.200000003,5960,0.359999985,90,80,0,56.51999664,24.48264694,24.83115578,2025-01-15 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Yamaha', 'Suzuki', 'Toyota']",7.75,2,3,1,2025,1,1,0,0,3,1,2,0,Grievous
80,Triq Villabate,Marsaskala,"('Triq Villabate', 'Marsaskala')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],[],"['Peugeot', 'Nissan']",Thursday,10:00,38,35.8629162,14.5591879,24.02099991,0,0,0,35860,2.41495347,333.4350281,1,0,23.75999832,11.30422878,53.02476883,2025-06-12 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Mater Dei'],[],"['Peugeot', 'Nissan']",10,2,2,6,2025,1,1,0,0,0,0,3,0,None/Unknown
81,Triq L-Għarb,L-Għarb,"('Triq L-Għarb', 'L-Għarb')",['Motorcycle'],"['Collision', 'Accident']",['Gozo General Hospital'],"['The', 'Grievous']","['Honda', 'Kymco']",Saturday,13:30,30,36.0598182,14.209081,24.83199883,0,0,0,52920,7.244860172,116.5649872,3,0,33.83999634,18.34587669,76.61385345,2025-09-20 22:00:00+00:00,['Motorcycle'],"['Collision', 'Accident']",['Gozo General Hospital'],"['The', 'Grievous']","['Honda', 'Kymco']",13.5,1,2,9,2025,1,0,0,0,3,1,5,1,Grievous
82,Triq E. Bradford corner with Triq il-Kappella tax-Xagħra,In-Naxxar,"('Triq E. Bradford corner with Triq il-Kappella tax-Xagħra', 'In-Naxxar')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Volkswagen'],Wednesday,11:15,60,35.9133396,14.4432851,15.36900043,0,0,0,40140,10.07999992,90,3,0,20.15999985,10.23945332,74.10710144,2024-12-11 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Volkswagen'],11.25,2,1,12,2024,0,1,1,0,3,1,2,0,Grievous
83,Triq Hompesh,Il-Fgura,"('Triq Hompesh', 'Il-Fgura')",['Car'],['Accident'],['Mater Dei'],['Grievous'],['Toyota'],Tuesday,20:00,24,35.8728325,14.520799,13.90200043,0,0,0,17060,7.421589851,292.8336792,3,0,42.47999954,18.8648243,217.1280518,2025-01-07 22:00:00+00:00,['Car'],['Accident'],['Mater Dei'],['Grievous'],['Toyota'],20,1,1,1,2025,0,1,0,0,3,1,1,0,Grievous
84,Hompesch Street,Il-Fgura,"('Hompesch Street', 'Il-Fgura')",['Car'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Audi', 'Toyota']",Sunday,15:30,23,35.8728325,14.520799,25.50200081,0,0,0,40700,20.39011383,312.1375122,1,0,60.47999573,26.95916557,310.40271,2025-07-27 22:00:00+00:00,['Car'],"['Collision', 'Accident']",['Mater Dei'],['Grievous'],"['Audi', 'Toyota']",15.5,1,2,7,2025,0,1,0,0,3,1,6,1,Grievous
85,,L-Imsida,"(None, 'L-Imsida')","['Pedestrian', 'Car', 'Vehicle']",['Accident'],['Mater Dei'],"['Head', 'Serious']",['Volkswagen'],Monday,13:15,5,35.8956943,14.4891829,17.94449997,0,0,0,11360,5.447788239,262.4054565,1,0,31.68000031,13.45070839,328.3280945,2025-05-26 22:00:00+00:00,"['Pedestrian', 'Car', 'Vehicle']",['Accident'],['Mater Dei'],"['Head', 'Serious']",['Volkswagen'],13.25,3,1,5,2025,0,1,1,0,2,0,0,0,Serious
86,Triq L-Imġarr,Il-Qala,"('Triq L-Imġarr', 'Il-Qala')","['Car', 'Motorcycle']","['Collision', 'Accident']",['Gozo General Hospital'],['Grievous'],"['Honda', 'Kia']",Thursday,05:30,53,36.036291,14.3103502,20.90550041,0,0,0,72540,22.45026398,344.1807251,80,0,65.15999603,28.25713158,315.4527283,2025-10-02 22:00:00+00:00,"['Car', 'Motorcycle']","['Collision', 'Accident']",['Gozo General Hospital'],['Grievous'],"['Honda', 'Kia']",5.5,2,2,10,2025,1,1,0,0,3,1,3,0,Grievous
87,Blue Grotto Avenue,Iż-Żurrieq,"('Blue Grotto Avenue', 'Iż-Żurrieq')","['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Citroen'],Wednesday,19:30,63,35.8294676,14.4745172,11.31700039,0.400000006,0,0.400000006,9880,2.276839733,18.43505287,80,0,55.79999924,31.40471268,24.29576492,2025-01-15 22:00:00+00:00,"['Pedestrian', 'Car']",['Accident'],['Mater Dei'],['Grievous'],['Citroen'],19.5,2,1,1,2025,0,1,1,0,3,1,2,0,Grievous
88,Triq il-Marfa,Il-Mellieħa,"('Triq il-Marfa', 'Il-Mellieħa')","['Car', 'Vehicle', 'Motorcycle']",['Accident'],['Mater Dei'],"['Sustained', 'Slight']","['Suzuki', 'Toyota']",Tuesday,14:15,50,35.9599618,14.368367,13.16549969,0,0,0,12120,9.659813881,243.4350128,3,0,30.96000099,16.20399857,258.057312,2025-02-25 22:00:00+00:00,"['Car', 'Vehicle', 'Motorcycle']",['Accident'],['Mater Dei'],"['Sustained', 'Slight']","['Suzuki', 'Toyota']",14.25,3,2,2,2025,1,1,0,0,1,0,1,0,Slight
89,Triq Kordin,Raħal Ġdid,"('Triq Kordin', 'Raħal Ġdid')",['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],"['Indian', 'Hyosung']",Saturday,22:00,26,35.8717994,14.5073748,15.36499977,0,0,0,13860,2.099142551,329.0363159,3,0,37.79999924,15.79083252,292.2525635,2025-04-26 22:00:00+00:00,['Motorcycle'],['Accident'],['Mater Dei'],['Grievous'],"['Indian', 'Hyosung']",22,1,2,4,2025,1,0,0,0,3,1,5,1,Grievous
90,Triq il-Marfa,Il-Mellieħa,"('Triq il-Marfa', 'Il-Mellieħa')","['Pedestrian', 'Motorcycle']",['Accident'],['Mater Dei'],[],['Honda'],Saturday,17:30,17,35.9599618,14.368367,16.51550102,0,0,0,45800,14.61883736,307.9987793,3,0,37.43999863,19.64228058,268.2101135,2024-12-14 22:00:00+00:00,"['Pedestrian', 'Motorcycle']",['Accident'],['Mater Dei'],[],['Honda'],17.5,2,1,12,2024,1,0,1,0,0,0,5,1,None/Unknown
