town,date_published,injuries,fatalities_mentioned,fatalities_count,accident_types,day,time,age,hourly_precipitation,hourly_rain,hourly_showers,daily_rain_sum,hourly_visibility,daily_weather_code,vehicles,severity_score,hourly_visibility_km,injuries_list,hour,month,month_name,month_num,vehicles_list
Marsaskala,2025-09-28,['Grievous'],False,,['Accident'],Sunday,10:00,36,0.0,0.0,0.0,0.0,51760.0,3.0,"['Motorcycle', 'Pedestrian', 'Van', 'Car']",3,51.76,['Grievous'],10,2025-09-01,Sep,9,"['Motorcycle', 'Pedestrian', 'Van', 'Car']"
Is-Siġġiewi,2025-10-05,['Grevious'],False,,"['Collision', 'Accident']",Sunday,14:30,34,0.0,0.0,0.0,0.0,41920.0,3.0,['Car'],0,41.92,['Grevious'],14,2025-10-01,Oct,10,['Car']
San Ġiljan,2025-10-04,['Grevious'],False,,['Accident'],Saturday,12:00,36,0.0,0.0,0.0,0.0,48860.0,3.0,"['Motorcycle', 'Car']",0,48.86,['Grevious'],12,2025-10-01,Oct,10,"['Motorcycle', 'Car']"
Birkirkara,2025-08-22,['Serious'],False,,"['Collision', 'Accident']",Friday,05:30,57,0.0,0.0,0.0,0.0,50600.0,3.0,"['Motorcycle', 'Car']",2,50.6,['Serious'],5,2025-08-01,Aug,8,"['Motorcycle', 'Car']"
Ħ'Attard,2025-04-06,[],False,,"['Collision', 'Accident']",Sunday,08:30,19,0.0,0.0,0.0,0.0,11160.0,3.0,"['Motorcycle', 'Car']",0,11.16,[],8,2025-04-01,Apr,4,"['Motorcycle', 'Car']"
Ix-Xagħra,2025-05-03,"['Slight', 'Grievous']",False,,"['Collision', 'Accident']",Saturday,17:00,74,0.0,0.0,0.0,0.0,71420.0,3.0,['Car'],3,71.42,"['Slight', 'Grievous']",17,2025-05-01,May,5,['Car']
Marsaxlokk,2025-07-14,[],False,,"['Collision', 'Accident']",Monday,11:00,30,0.0,0.0,0.0,0.0,59780.0,1.0,"['Motorcycle', 'Van', 'Car']",0,59.78,[],11,2025-07-01,Jul,7,"['Motorcycle', 'Van', 'Car']"
Il-Fgura,2025-08-31,['Grievous'],False,,['Accident'],Sunday,07:30,87,0.0,0.0,0.0,0.0,43100.0,0.0,"['Pedestrian', 'Car']",3,43.1,['Grievous'],7,2025-08-01,Aug,8,"['Pedestrian', 'Car']"
Ħaż-Żebbuġ,2025-02-09,['Grievous'],False,,['Accident'],Sunday,21:00,25,0.0,0.0,0.0,0.0,2940.0,95.0,"['Motorcycle', 'Van']",3,2.94,['Grievous'],21,2025-02-01,Feb,2,"['Motorcycle', 'Van']"
San Pawl Il-Baħar,2024-12-11,[],False,,['Accident'],Wednesday,17:00,54,0.0,0.0,0.0,0.0,30400.0,3.0,['Motorcycle'],0,30.4,[],17,2024-12-01,Dec,12,['Motorcycle']
